power_id,Name,isFeature,Level,Type,UsageLimit,UsageNumber,Keywords,Action,Trigger,Range,Target,AttackRoll,EffectPre,Hit,Miss,EffectPost,Misc,SecondaryAttack,Upgrades,Summary
univ_en_powatk,Power Attack,NA,1,Attack,Encounter,NA,Weapon,Free Action (Interrupt),you hit with an at-will Weapon attack,NA,targets an enemy hit by the triggering attack,NA,NA,NA,NA,"Against the target, the triggering attack deals an extra 1W and gains Push 2.",NA,NA,Upgrade 13: Increase extra damage to 2W<br>Upgrade 23: Increase extra damage to 3W,Deal extra damage and push
univ_en_mobatk,Mobile Attack,NA,1,Attack,Encounter,NA,Weapon,Free Action (Interrupt),you hit with an at-will Weapon attack,NA,targets an enemy hit by the triggering attack,NA,NA,NA,NA,"Against the target, the triggering attack deals an extra 1W. You shift 2.",NA,NA,Upgrade 13: Increase extra damage to 2W<br>Upgrade 23: Increase extra damage to 3W,Deal extra damage and shift
univ_en_empspl,Empower Spell,NA,1,Attack,Encounter,NA,Implement,Free Action (Interrupt),you hit with an at-will Implement attack,NA,targets an enemy hit by the triggering attack,NA,NA,NA,NA,"Against the target, the triggering attack deals an extra 1d8 and gains Push 2.",NA,NA,Upgrade 13: Increase extra damage to 2d8<br>Upgrade 23: Increase extra damage to 3d8,Deal extra damage and push
univ_en_sldspl,Sliding Spell,NA,1,Attack,Encounter,NA,"Arcane, Implement",Free Action (Interrupt),you hit with an at-will Arcane attack,NA,targets an enemy hit by the triggering attack,NA,NA,NA,NA,"Against the target, the triggering attack deals an extra 1d6 and gains Slide 2.",NA,NA,Upgrade 13: Increase extra damage to 2d6<br>Upgrade 23: Increase extra damage to 3d6,Deal extra damage and slide
univ_en_healpr,Healing Prayer,NA,1,Attack,Encounter,NA,"Implement, Divine",Free Action (Interrupt),you hit with an at-will Divine attack,NA,targets an enemy hit by the triggering attack,NA,NA,NA,NA,"Against the target, the triggering attack deals an extra 1d6. You or an ally adjacent to you heal 1d6, or gain 1d6 Shield Points.",NA,NA,"Upgrade 13: Increase extra damage, heal and Shield Points to 2d6<br>Upgrade 23: Increase extra damage, heal and Shield Points to 3d6",Deal extra damage and heal
univ_da_offtrn,Offensive Training,NA,1,Attack,Daily,NA,NA,NA,NA,Personal,NA,NA,NA,NA,NA,"Until you recharge or retrain this power, your attacks gain +1 Miss Damage.",NA,NA,Upgrade 15: Your attacks gain +1 damage and +1 Miss Damage.<br>Upgrade 25: Your attacks gain +3 damage and +1 Miss Damage.,Small damage bonus all day
univ_da_deftrn,Defensive Training,NA,1,Attack,Daily,NA,NA,NA,NA,Personal,NA,NA,NA,NA,NA,"Until you recharge or retrain this power, you gain +3 HP.",NA,NA,Upgrade 15: gain +9 HP instead.<br>Upgrade 25: gain +18 HP instead.,Small HP bonus all day
ftr_fe_defaur,Defender Aura,Feature,1,Utility,NA,NA,NA,Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Gain Aura 1: You Taunt enemies in the aura. This effect lasts until you dismiss it as a Minor Action, or you become Unconscious.",NA,NA,NA,NA
ftr_aw_shlbsh,Shield Bash,NA,1,Attack,NA,NA,"Martial, Weapon, Shield",NA,NA,Melee,NA,Str vs Arm,NA,"1W+Str. Push 1 if you wield a Shield",NA,Shift 1,NA,NA,Level 21: Increase Hit damage to 2W+Str.,Push and follow up
ftr_aw_cleave,Cleave,NA,1,Attack,NA,NA,"Martial, Weapon, Martial",NA,NA,Melee,NA,Str vs Arm,NA,1W+Str. Choose another enemy adjacent to you or the target. Con damage to that enemy. Enemies damaged by this attack are Taunted until your next turn.,NA,NA,NA,NA,Level 21: Increase Hit damage to 2W+Str.,Damage an additional enemy
ftr_en_hamstr,Hamstring,NA,1,Attack,Encounter,NA,"Martial, Weapon",NA,NA,Melee,NA,Str vs Arm,NA,"2W + Str, and Slowed (save ends). Until end of your next turn, the target has -Con to save while adjacent to you.",NA,NA,NA,NA,Upgrade 13: Increase Hit damage to 3W+Str<br>Upgrade 23: Increase Hit damage to 4W+Str,Slow and save penalty
ftr_en_stnstr,Stunning Strike,NA,1,Attack,Encounter,NA,"Martial, Weapon",NA,NA,Melee,NA,Str vs For,NA,"Hit: 1W, and Stunned until your next turn.",NA,NA,NA,NA,Upgrade 13: Increase Hit damage to 2W<br>Upgrade 23: Increase Hit damage to 3W,Low damage and stun
ftr_en_stmbla,Storm of blades,NA,1,Attack,Encounter,NA,"Martial, Weapon",NA,NA,Close Burst 1,enemies in burst,Str vs Arm,NA,"Hit: 1W+Str, and Slide 1.",NA,NA,NA,NA,Upgrade 13: Increase Hit damage to 2W<br>Upgrade 23: Increase Hit damage to 3W,Low damage and slide burst
ftr_da_brustr,Brutal Strike,NA,1,Attack,Daily,NA,"Martial, Weapon, Reliable",NA,NA,Melee,NA,Str vs Arm,NA,"3W+Str, and Push Con and Prone.",NA,NA,NA,NA,Upgrade 15: Increase Hit damage to 5W+Str<br>Upgrade 25: Increase Hit damage to 7W+Str<br>,"High damage, push, prone"
ftr_da_cmbstr,Comeback Strike,NA,1,Attack,Daily,NA,"Martial, Weapon",NA,NA,Melee,NA,Str vs Arm,NA,2W+Str.,Half Damage,"Heal a surge and double the amount healed.",NA,NA,Upgrade 15: Increase Hit damage to 3W+Str<br>Upgrade 25: Increase Hit damage to 4W+Str,Heal yourself
ftr_da_bladnc,Blade Dance,NA,1,Attack,Daily,NA,"Martial, Weapon, Stance",Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Stance: At the start of your turn, choose an adjacent enemy. You Slide 1 that enemy and deal 1W damage to them.",NA,NA,Upgrade 15: Effect Deal 1W and Slide 1 to each adjacent enemy.<br>Upgrade 25: Deal 2W and Slide 1 to each adjacent enemy.,"All encounter, damage adjacent enemies"
ftr_ut_shiwll,Shield Wall,NA,2,Utility,Encounter,NA,"Martial, Shield",Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Until your next turn, you gain Cover against enemy attacks and cannot be flanked.",NA,NA,NA,"Gain Cover, can't be flanked"
ftr_ut_grit,Grit,NA,2,Utility,Encounter,NA,Martial,,Minor Action,Personal,NA,NA,NA,NA,NA,"Roll a save to ignore one Combat Condition this turn. On a failed save, lose 1 Surge.",NA,NA,NA,Save against condition
ftr_ut_fndopn,Find Opening,NA,2,Utility,Encounter,NA,Martial,,Minor Action,Melee,NA,NA,NA,NA,NA,"Until end of your next turn, your attacks against the target gain Advantage and Pierce Resist",NA,NA,NA,Gain Advantage
wiz_aw_arcmss,Arcane Missiles,NA,1,Attack,NA,NA,"Arcane, Implement",NA,NA,Ranged 5,targets up to 3 enemies,Int vs Arm,NA,"1d6+Int/2, and Push 1",NA,NA,NA,NA,Level 21: Increase Hit damage to 2d6+Int/2,Low damage and push to 3 targets
wiz_aw_froblt,Frost Bolt,NA,1,Attack,NA,NA,"Arcane, Implement",NA,NA,Ranged 10,NA,Int vs For,NA,"1d8+Int Cold, and Slowed (save ends)",NA,NA,NA,NA,Level 21: Increase Hit damage to 2d8+Int,NA
wiz_aw_lssfrb,Lesser Fireball,NA,1,Attack,NA,NA,"Arcane, Implement",NA,NA,Area 10 Burst 1,NA,Int vs Ref,NA,1d8+Int Fire,NA,NA,NA,NA,Level 21: Increase Hit damage to 2d8+Int,NA
wiz_en_burhnd,Burning Hands,NA,1,Attack,Encounter,NA,"Arcane, Implement",NA,NA,Close Blast 5,NA,Int vs Ref,NA,2d10+Int Fire,Half Damage,NA,NA,NA,Upgrade 13: Increase Hit damage to 3d10+Int<br>Upgrade 23: Increase Hit damage to 4d10+Int,NA
wiz_en_icebea,Ice Beam,NA,1,Attack,Encounter,NA,"Arcane, Implement",NA,NA,Close Line 10,NA,Int vs For,NA,"1d12 Cold, and Immobilized until your next turn.",Slowed until your next turn.,NA,NA,NA,Upgrade 13: Increase Hit damage to 2d12<br>Upgrade 23: Increase Hit damage to 3d12,NA
wiz_en_shksph,Shock Sphere,NA,1,Attack,Encounter,NA,"Arcane, Implement",NA,NA,Area 10 Burst 2,NA,Int vs Ref,NA,"2d6 Lightning, and Dazed until end of your next turn.",Cannot use Reactions until end of your next turn.,NA,NA,NA,Upgrade 13: Increase Hit damage to 4d6<br>Upgrade 23: Increase Hit damage to 6d6,NA
